Region,Reef,Inshore,Latitude,Longitude,closest_pixel_m,ubmean,ub90,ub99,ub100
BU,Magnetic,true,-19.15678,146.8622,3.9128,-9999.0,-9999.0,-9999.0,-9999.0
BU,Palms,true,-18.54058,146.48855,4.7646,0.10582002997398376,0.1556367427110672,0.25128689408302307,0.9044971466064453
BU,Pandora,true,-18.8168,146.43457,3.9346,0.21239502727985382,0.37583523988723755,0.5218397378921509,1.0996458530426025
OU,Chicken,false,-18.65726,147.70805,2.1072,0.23418240249156952,0.34626713395118713,0.5307754278182983,1.7884035110473633
OU,Davies,false,-18.82864,147.62878,4.6354,0.19611485302448273,0.29478779435157776,0.4880031645298004,1.359630823135376
OU,Myrmidon,false,-18.27082,147.38065,4.5252,0.2945559024810791,0.4415598511695862,0.6968286633491516,1.8010756969451904
WH,Double.Cone,true,-20.104917,148.72175,4.7313,-9999.0,-9999.0,-9999.0,-9999.0
WH,Pine,true,-20.377983,148.888367,3.7256,-9999.0,-9999.0,-9999.0,-9999.0
WH,Seaforth,true,-20.46845,149.03895,5.9914,-9999.0,-9999.0,-9999.0,-9999.0
WT,Dunk,true,-17.95885,146.15433,4.8305,0.2330104410648346,0.4082046151161194,0.5235979557037354,0.9373040199279785
WT,Fitzroy,true,-16.92315,145.99625,2.5898,0.10013850033283234,0.10469861328601837,0.17792271077632904,1.2034178972244263
WT,High,true,-17.16215,146.00698,1.5316,0.17043223977088928,0.30652716755867004,0.41935697197914124,0.7271835207939148
